100000	380	120	320	216	64	306	499	180	121	242	310	68	185	290	194	140	185
380	100000	500	560	252	333	78	152	360	265	193	181	50	195	139	580	524	512
120	500	100000	230	330	170	425	620	260	238	361	410	53	310	417	91	49	107
320	560	230	100000	310	314	484	697	203	380	510	390	255	450	560	323	280	138
216	252	330	310	100000	160	175	390	106	170	250	80	277	169	270	407	355	264
64	333	170	314	160	100000	255	455	169	67	196	240	118	138	246	250	194	207
306	78	425	484	175	255	100000	215	282	190	150	104	370	118	108	502	448	440
499	152	620	697	390	455	215	100000	495	390	300	317	575	300	250	702	648	661
180	360	260	203	106	169	282	495	100000	236	265	188	220	281	372	248	295	160
121	265	238	380	170	67	190	390	236	100000	128	170	185	70	180	314	261	271
242	193	361	510	250	196	150	300	265	128	100000	228	314	79	50	443	390	403
310	181	410	390	80	240	104	317	188	170	228	100000	360	145	192	484	434	344
68	50	53	255	277	118	370	575	220	185	314	360	100000	254	362	123	71	117
185	195	310	450	169	138	118	300	281	70	79	145	254	100000	121	384	331	340
290	139	417	560	270	246	108	250	372	180	50	192	362	121	100000	492	440	450
194	580	91	323	407	250	502	702	348	314	443	484	123	384	492	100000	53	198
140	524	49	280	355	194	448	648	295	261	390	434	71	331	440	53	100000	155
185	512	107	138	264	207	440	661	160	271	403	344	117	340	450	198	155	100000


